Variable Group Description,Age Group Description,Geography,Values,YEAR,Definition,Dataset,Geography Level,FIPS,NAME,Role
Asian Female,55 to 59,"Pierce County, WA",2317.0,2020,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
All,50 to 54,United States,12853.683825730375,1993,nan,Moodys,National,00,United States,Benchmark
Hispanic Male,45 to 49,,15888.0,2022,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Male,0 to 4,"Pierce County, WA",498.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Asian Female,50 to 54,Seattle MSA,19809.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Female,70 to 74,Washington,298.0,2014,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Female,70 to 74,Washington,634.0,2021,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Hispanic Male,0 to 4,"Pierce County, WA",6005.0,2018,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Female,50 to 54,Washington,201123.0,2011,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Female,35 to 39,United States,10594335.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
All,30 to 34,United States,18735.31666608828,1981,nan,Moodys,National,00,United States,Benchmark
Asian Female,50 to 54,"Pierce County, WA",2306.0,2011,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native American Female,80 to 84,"Pierce County, WA",44.0,2015,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Female,70 to 74,United States,4859.0,2012,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Male,55 to 59,"Pierce County, WA",1041.0,2012,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Asian Male,60 to 64,Seattle MSA,13976.0,2023,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native American Male,15 to 19,Seattle MSA,1129.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Hispanic Male,15 to 19,Washington,37815.0,2011,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
All,30 to 34,"Pierce County, WA",57.63900106724424,1994,nan,Moodys,County,53053,Pierce County,Broad
All,50 to 54,"Pierce County, WA",24.16542062047326,1989,nan,Moodys,County,53053,Pierce County,Broad
White Female,35 to 39,,90261.0,2016,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Male,0 to 4,,8446.0,2024,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Male,75 to 79,Seattle MSA,155.0,2010,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Black or African American Female,80 to 84,Seattle MSA,924.0,2013,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Asian Female,0 to 4,Seattle MSA,11871.0,2010,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Asian Male,60 to 64,"Pierce County, WA",1002.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native American Male,10 to 14,United States,89611.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Male,80 to 84,Seattle MSA,28380.0,2023,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Male,0 to 4,"Pierce County, WA",384.0,2013,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native American Female,75 to 79,United States,30048.0,2021,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Male,70 to 74,"Pierce County, WA",137.0,2019,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Female,5 to 9,United States,22566.0,2022,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native American Female,20 to 24,,1190.0,2023,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Male,60 to 64,United States,15725.0,2021,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Male,65 to 69,"Pierce County, WA",255.0,2024,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Female,20 to 24,,1511.0,2013,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Female,30 to 34,"Pierce County, WA",1903.0,2012,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Male,60 to 64,United States,9529117.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Black or African American Male,20 to 24,Washington,12815.0,2023,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Native American Male,75 to 79,"Pierce County, WA",64.0,2021,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Hispanic Female,75 to 79,Seattle MSA,2317.0,2024,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Hispanic Male,25 to 29,United States,2527033.0,2022,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Asian Female,75 to 79,"Pierce County, WA",1260.0,2023,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Hispanic Female,80 to 84,,984.0,2019,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Female,70 to 74,,320.0,2018,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Female,85+,Washington,1410.0,2019,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Male,65 to 69,Washington,186757.0,2017,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
All,10 to 14,Washington,440.6599999999985,2001,nan,Moodys,State,53,Washington,Benchmark
Hispanic Female,5 to 9,"Pierce County, WA",5293.0,2018,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Female,50 to 54,Seattle MSA,1023.0,2021,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
All,10 to 14,United States,20099.074951188584,1976,nan,Moodys,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Female,45 to 49,"Pierce County, WA",479.0,2021,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Native American Female,35 to 39,Seattle MSA,1271.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Multiracial Female,0 to 4,Washington,20262.0,2016,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Multiracial Male,70 to 74,"Pierce County, WA",173.0,2017,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Multiracial Female,20 to 24,Seattle MSA,8667.0,2021,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Male,75 to 79,,215.0,2021,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Male,5 to 9,,1421.0,2017,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Female,15 to 19,"Pierce County, WA",1908.0,2011,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Female,75 to 79,"Pierce County, WA",8119.0,2015,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Male,60 to 64,Seattle MSA,754.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Hispanic Female,70 to 74,Seattle MSA,2076.0,2017,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Male,50 to 54,Seattle MSA,88999.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Black or African American Female,25 to 29,,10213.0,2021,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Male,70 to 74,,43772.0,2011,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Male,55 to 59,Washington,20261.0,2024,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
White Male,35 to 39,Seattle MSA,98903.0,2021,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Black or African American Male,40 to 44,United States,1218291.0,2014,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native American Female,10 to 14,United States,87418.0,2019,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Female,65 to 69,Washington,674.0,2016,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Black or African American Female,80 to 84,"Pierce County, WA",309.0,2016,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Black or African American Male,15 to 19,"Pierce County, WA",2052.0,2018,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Hispanic Male,35 to 39,,15495.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Female,75 to 79,Washington,117457.0,2023,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
All,65+,Washington,652.776004289912,1998,nan,Moodys,State,53,Washington,Benchmark
Male,45 to 49,United States,10288356.0,2015,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Male,20 to 24,"Pierce County, WA",32302.0,2024,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Female,5 to 9,"Pierce County, WA",527.0,2022,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Asian Male,35 to 39,Seattle MSA,30836.0,2021,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Black or African American Male,80 to 84,Seattle MSA,709.0,2015,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Multiracial Male,80 to 84,Seattle MSA,156.0,2011,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
All,35 to 39,Seattle MSA,274.40700204207883,1997,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
Female,20 to 24,Seattle MSA,114176.0,2019,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
All,60 to 64,"Pierce County, WA",16.41609802811897,1975,nan,Moodys,County,53053,Pierce County,Broad
Asian Female,40 to 44,"Pierce County, WA",2167.0,2013,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Male,85+,Washington,110.0,2021,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
All,55 to 59,Seattle MSA,137.8320064082342,1999,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Male,50 to 54,,1020.0,2018,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Male,85+,United States,12595.0,2015,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Black or African American Male,75 to 79,United States,372078.0,2022,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native American Male,10 to 14,United States,87898.0,2022,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Female,80 to 84,United States,1891.0,2010,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native American Male,60 to 64,Seattle MSA,854.0,2015,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Asian Male,5 to 9,,19494.0,2023,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Female,5 to 9,Washington,123642.0,2020,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Female,15 to 19,Seattle MSA,107306.0,2018,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native American Female,40 to 44,,1205.0,2014,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Male,50 to 54,"Pierce County, WA",28894.0,2015,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Multiracial Female,40 to 44,United States,130799.0,2010,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Female,10 to 14,,1455.0,2015,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Male,45 to 49,,138742.0,2015,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Male,55 to 59,,1063.0,2022,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Female,65 to 69,Washington,227657.0,2023,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Male,55 to 59,Seattle MSA,114856.0,2011,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Male,65 to 69,United States,6055400.0,2018,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Female,45 to 49,,4629.0,2022,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Male,85+,"Pierce County, WA",4601.0,2020,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Multiracial Male,50 to 54,,3492.0,2020,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Female,85+,"Pierce County, WA",296.0,2023,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
All,65+,"Pierce County, WA",35.81989744332314,1972,nan,Moodys,County,53053,Pierce County,Broad
Hispanic Female,75 to 79,United States,455257.0,2020,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Female,10 to 14,Washington,213787.0,2010,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Asian Male,60 to 64,,9467.0,2013,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Female,25 to 29,United States,23260.0,2021,nan,PEP_Vintage_2024,National,00,United States,Benchmark
White Male,80 to 84,Washington,48201.0,2020,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Male,60 to 64,Seattle MSA,575.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Hispanic Male,10 to 14,,21643.0,2019,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Female,65 to 69,"Pierce County, WA",13221.0,2011,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Male,0 to 4,United States,20248.0,2011,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Asian Male,20 to 24,"Pierce County, WA",1942.0,2014,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Female,35 to 39,"Pierce County, WA",718.0,2019,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Multiracial Female,15 to 19,"Pierce County, WA",2811.0,2018,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Black or African American Female,60 to 64,Seattle MSA,4780.0,2015,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Multiracial Female,70 to 74,,811.0,2015,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Female,40 to 44,"Pierce County, WA",1094.0,2014,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native American Male,50 to 54,"Pierce County, WA",332.0,2015,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Asian Male,40 to 44,Seattle MSA,19021.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Hispanic Male,30 to 34,Seattle MSA,24166.0,2024,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Hispanic Female,60 to 64,Seattle MSA,5798.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Hispanic Female,0 to 4,United States,2517679.0,2023,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Female,10 to 14,,122451.0,2024,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,20 to 24,Washington,400.7140664436884,1980,nan,Moodys,State,53,Washington,Benchmark
Female,35 to 39,,168948.0,2021,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Female,50 to 54,"Pierce County, WA",329.0,2020,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
White Female,40 to 44,United States,5897396.0,2015,nan,PEP_Vintage_2020,National,00,United States,Benchmark
All,20 to 24,Seattle MSA,218.7390024255085,2002,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
Asian Male,10 to 14,"Pierce County, WA",1407.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Male,75 to 79,Seattle MSA,43758.0,2021,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
White Male,50 to 54,Seattle MSA,86039.0,2022,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Multiracial Female,80 to 84,"Pierce County, WA",54.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native American Female,40 to 44,"Pierce County, WA",357.0,2018,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Hispanic Female,30 to 34,,19682.0,2021,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Male,45 to 49,,1284.0,2022,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Female,65 to 69,Washington,1696.0,2012,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native American Male,45 to 49,Washington,2799.0,2021,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
All,40 to 44,Washington,486.4970000000105,2005,nan,Moodys,State,53,Washington,Benchmark
Male,80 to 84,"Pierce County, WA",7200.0,2024,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Female,85+,United States,3733139.0,2010,nan,PEP_Vintage_2020,National,00,United States,Benchmark
White Male,10 to 14,Seattle MSA,61142.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native American Male,65 to 69,"Pierce County, WA",142.0,2014,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Male,75 to 79,Seattle MSA,53952.0,2024,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Asian Female,75 to 79,Washington,8132.0,2020,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
White Male,55 to 59,Washington,187693.0,2019,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
All,60 to 64,Washington,212.4830000000083,2000,nan,Moodys,State,53,Washington,Benchmark
Female,70 to 74,,80525.0,2018,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Female,5 to 9,United States,379001.0,2010,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Male,5 to 9,"Pierce County, WA",536.0,2013,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Black or African American Female,20 to 24,"Pierce County, WA",2228.0,2021,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Multiracial Female,25 to 29,,6875.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,80 to 84,,4519.0,2020,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Female,30 to 34,Washington,12830.0,2021,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Black or African American Female,70 to 74,Seattle MSA,3326.0,2021,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Female,80 to 84,"Pierce County, WA",8051.0,2021,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
White Female,60 to 64,Washington,195694.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
All,65+,Washington,588.3100013353377,1991,nan,Moodys,State,53,Washington,Benchmark
Black or African American Female,10 to 14,United States,1390278.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Female,0 to 4,Seattle MSA,110803.0,2021,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
All,45 to 49,Seattle MSA,109.10767885080996,1984,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
Hispanic Female,40 to 44,,11632.0,2013,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Male,85+,United States,862.0,2011,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Male,85+,,160.0,2018,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Female,5 to 9,United States,82338.0,2019,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Female,50 to 54,Seattle MSA,6528.0,2013,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Male,30 to 34,,105732.0,2024,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Male,70 to 74,United States,671493.0,2024,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Black or African American Female,75 to 79,United States,588266.0,2023,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Female,0 to 4,,1617.0,2023,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Male,15 to 19,United States,516166.0,2015,nan,PEP_Vintage_2020,National,00,United States,Benchmark
All,40 to 44,Seattle MSA,98.75099067707222,1973,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
Hispanic Male,0 to 4,Seattle MSA,19891.0,2011,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Asian Male,55 to 59,"Pierce County, WA",1302.0,2014,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Female,85+,Seattle MSA,57.0,2018,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Multiracial Male,55 to 59,Washington,4684.0,2024,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Native American Female,65 to 69,,922.0,2021,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Male,25 to 29,Seattle MSA,1629.0,2014,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Female,45 to 49,Washington,1998.0,2023,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Female,65 to 69,Washington,380.0,2012,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Male,65 to 69,,87899.0,2015,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,35 to 39,Seattle MSA,218.77095867132925,1988,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
All,35 to 39,Washington,185.63489183665305,1973,nan,Moodys,State,53,Washington,Benchmark
Multiracial Female,65 to 69,Seattle MSA,1624.0,2019,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native American Male,60 to 64,United States,59868.0,2016,nan,PEP_Vintage_2020,National,00,United States,Benchmark
White Female,5 to 9,,58405.0,2022,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Male,20 to 24,"Pierce County, WA",2908.0,2023,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Male,25 to 29,"Pierce County, WA",37485.0,2020,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
White Female,55 to 59,Seattle MSA,79977.0,2022,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native American Male,0 to 4,Seattle MSA,913.0,2012,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Multiracial Female,25 to 29,United States,317754.0,2022,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Black or African American Female,60 to 64,United States,926972.0,2010,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Black or African American Male,20 to 24,United States,1584283.0,2018,nan,PEP_Vintage_2020,National,00,United States,Benchmark
All,10 to 14,,170.83010131628222,1980,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Male,20 to 24,Seattle MSA,9345.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
White Male,55 to 59,Seattle MSA,96198.0,2015,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
All,10 to 14,United States,20218.02800297957,1999,nan,Moodys,National,00,United States,Benchmark
Multiracial Male,70 to 74,"Pierce County, WA",106.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Multiracial Male,20 to 24,Washington,13087.0,2014,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Multiracial Male,45 to 49,,3171.0,2013,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Male,60 to 64,Seattle MSA,85707.0,2017,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Hispanic Female,65 to 69,"Pierce County, WA",1122.0,2022,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
White Male,10 to 14,"Pierce County, WA",16921.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Female,10 to 14,"Pierce County, WA",26449.0,2013,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native American Male,60 to 64,Washington,2697.0,2022,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Asian Female,30 to 34,"Pierce County, WA",3419.0,2023,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Female,45 to 49,,1026.0,2014,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
