Variable Group Description,Age Group Description,Geography,Values,YEAR,Definition,Dataset,Geography Level,FIPS,NAME,Role
Female,15 to 19,Seattle MSA,111511.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native American Female,40 to 44,United States,77354.0,2023,nan,PEP_Vintage_2024,National,00,United States,Benchmark
White Female,80 to 84,"Pierce County, WA",7771.0,2024,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Native American Male,80 to 84,Washington,435.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Hispanic Male,10 to 14,"Pierce County, WA",5806.0,2023,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Hispanic Male,15 to 19,Washington,44374.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
White Female,40 to 44,"Pierce County, WA",20510.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native American Female,80 to 84,Seattle MSA,191.0,2018,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Male,50 to 54,"Pierce County, WA",386.0,2020,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Native American Female,40 to 44,,1247.0,2011,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Male,80 to 84,,1114.0,2024,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Female,30 to 34,Washington,309363.0,2024,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Hispanic Male,55 to 59,United States,1345848.0,2018,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Male,70 to 74,United States,4322.0,2012,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Female,25 to 29,,7399.0,2014,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Male,45 to 49,United States,18605.0,2018,nan,PEP_Vintage_2020,National,00,United States,Benchmark
White Male,0 to 4,,57760.0,2021,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Male,20 to 24,United States,1743759.0,2014,nan,PEP_Vintage_2020,National,00,United States,Benchmark
All,45 to 49,,245.71600087434484,1998,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Female,80 to 84,,28710.0,2019,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Male,50 to 54,"Pierce County, WA",28388.0,2016,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Hispanic Female,65 to 69,Seattle MSA,3000.0,2017,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Male,35 to 39,"Pierce County, WA",28934.0,2016,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Asian Male,40 to 44,United States,717704.0,2021,nan,PEP_Vintage_2024,National,00,United States,Benchmark
All,50 to 54,,105.52172170948592,1983,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Male,55 to 59,,103996.0,2015,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Female,45 to 49,,7713.0,2023,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Female,40 to 44,,138250.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Male,40 to 44,"Pierce County, WA",1612.0,2011,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Male,20 to 24,United States,6475026.0,2014,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Male,55 to 59,Seattle MSA,851.0,2017,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Female,60 to 64,,408.0,2010,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Female,75 to 79,"Pierce County, WA",57.0,2011,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Multiracial Male,60 to 64,United States,64236.0,2010,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Female,50 to 54,Seattle MSA,131657.0,2012,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Female,0 to 4,Seattle MSA,114444.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Female,15 to 19,,1361.0,2011,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,35 to 39,,207.52133856909694,1985,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Male,55 to 59,Washington,244137.0,2020,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Hispanic Female,85+,Seattle MSA,1173.0,2024,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Multiracial Male,60 to 64,Washington,3148.0,2015,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Asian Male,35 to 39,Washington,21787.0,2014,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native American Female,0 to 4,Washington,2572.0,2016,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Male,5 to 9,Seattle MSA,1191.0,2021,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
White Male,70 to 74,Washington,78220.0,2010,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Multiracial Female,55 to 59,"Pierce County, WA",632.0,2012,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Multiracial Male,70 to 74,Washington,2086.0,2021,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Multiracial Female,65 to 69,United States,99950.0,2023,nan,PEP_Vintage_2024,National,00,United States,Benchmark
White Female,20 to 24,"Pierce County, WA",13626.0,2024,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Multiracial Male,35 to 39,United States,185405.0,2020,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Multiracial Female,20 to 24,"Pierce County, WA",2637.0,2021,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Female,30 to 34,Seattle MSA,1208.0,2010,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Female,80 to 84,Washington,64231.0,2013,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
All,55 to 59,Washington,206.90099559403816,1993,nan,Moodys,State,53,Washington,Benchmark
All,10 to 14,Washington,320.89191627682385,1989,nan,Moodys,State,53,Washington,Benchmark
Female,50 to 54,Seattle MSA,128340.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
All,65+,United States,25096.893304888144,1979,nan,Moodys,National,00,United States,Benchmark
Black or African American Male,45 to 49,Washington,12876.0,2024,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
White Female,80 to 84,Seattle MSA,25600.0,2018,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Male,40 to 44,United States,19106.0,2016,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Male,85+,Washington,1923.0,2023,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
