Year,Geography Level,NAME,FIPS,Value Type,Source,Dataset,Values,Role
2011,National,United States,00,RDOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,0.0,Benchmark
2019,County or Equivalent,Pierce County,53053,RDOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,6.0710735448,Broad
2010,State,Washington,53,POPESTIMATE,Census-County-State-US,PEP_Vintage_2020,6743009.0,Benchmark
1989,County or Equivalent,Pierce County,53053,NATURALCHG,Moodys-County,Moodys,5701.720006029998,Broad
2012,State,Washington,53,RINTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,3.2350100298,Benchmark
2014,County or Equivalent,Pierce County,53053,RBIRTH,Census-County-State-US,PEP_Vintage_2020,13.904629618,Broad
2023,Region,Puget Sound Region,53033-53035-53053-53061,RINTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2025,28.770751943,Benchmark
2010,State,Washington,53,INTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,24336.0,Benchmark
2020,State,Washington,53,NATURALCHG,Census-County-State-US,PEP_Vintage_2025,23880.0,Benchmark
1981,Region,Puget Sound Region,53033-53035-53053-53061,POPESTIMATE,Moodys-County,Moodys,2306593.3875485575,Benchmark
2016,County or Equivalent,Pierce County,53053,DEATHS,Census-County-State-US,PEP_Vintage_2020,-6518.0,Broad
2003,Metropolitan Statistical Area,Seattle MSA,42660,BIRTHS,Moodys-CBSA,Moodys,40427.32937525573,Benchmark
1999,Region,Puget Sound Region,53033-53035-53053-53061,NATURALCHG,Moodys-County,Moodys,21635.09430720516,Benchmark
2024,County or Equivalent,Pierce County,53053,INTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2025,4728.0,Broad
2011,State,Washington,53,RNETMIG,Census-County-State-US,PEP_Vintage_2020,7.004317015,Benchmark
2003,Region,Puget Sound Region,53033-53035-53053-53061,INTERNATIONALMIG,Moodys-County,Moodys,6749.090028696976,Benchmark
2025,Region,Puget Sound Region,53033-53035-53053-53061,RNATURALCHG,Census-County-State-US,PEP_Vintage_2025,11.275063415,Benchmark
2007,National,United States,00,NATURALCHG,Moodys-US,Moodys,1877628.3630545232,Benchmark
2018,Region,Puget Sound Region,53033-53035-53053-53061,RNETMIG,Census-County-State-US,PEP_Vintage_2020,32.9524359238,Benchmark
2009,Metropolitan Statistical Area,Seattle MSA,42660,INTERNATIONALMIG,Moodys-CBSA,Moodys,16510.374243139642,Benchmark
2025,County or Equivalent,Pierce County,53053,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2025,1182.0,Broad
2024,Region,Puget Sound Region,53033-53035-53053-53061,INTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2025,55037.0,Benchmark
1993,Metropolitan Statistical Area,Seattle MSA,42660,BIRTHS,Moodys-CBSA,Moodys,41109.52860112125,Benchmark
2023,National,United States,00,DEATHS,Census-County-State-US,PEP_Vintage_2025,-3154285.0,Benchmark
2006,State,Washington,53,DEATHS,Moodys-State,Moodys,-45507.268633355015,Benchmark
1995,County or Equivalent,Pierce County,53053,DEATHS,Moodys-County,Moodys,-4881.479194215101,Broad
1983,Region,Puget Sound Region,53033-53035-53053-53061,POPESTIMATE,Moodys-County,Moodys,2348611.673035981,Benchmark
2024,National,United States,00,RNATURALCHG,Census-County-State-US,PEP_Vintage_2025,1.5198234962,Benchmark
2015,County or Equivalent,Pierce County,53053,BIRTHS,Census-County-State-US,PEP_Vintage_2020,11514.0,Broad
2008,Metropolitan Statistical Area,Seattle MSA,42660,INTERNATIONALMIG,Moodys-CBSA,Moodys,12840.589207374092,Benchmark
2009,State,Washington,53,BIRTHS,Moodys-State,Moodys,87641.85759160038,Benchmark
2023,Metropolitan Statistical Area,Seattle MSA,42660,RESIDUAL,Census-CBSA,PEP_Vintage_2025,-471.0,Benchmark
2019,State,Washington,53,RESIDUAL,Census-County-State-US,PEP_Vintage_2020,88.0,Benchmark
2012,Metropolitan Statistical Area,Seattle MSA,42660,POPESTIMATE,Census-CBSA,PEP_Vintage_2020,3559719.0,Benchmark
1982,County or Equivalent,Pierce County,53053,RESIDUAL,Moodys-County,Moodys,-193.4236624787237,Broad
1989,State,Washington,53,NATURALCHG,Moodys-State,Moodys,37215.00942126083,Benchmark
2019,Metropolitan Statistical Area,Seattle MSA,42660,INTERNATIONALMIG,Census-CBSA,PEP_Vintage_2020,18882.0,Benchmark
2007,Region,Puget Sound Region,53033-53035-53053-53061,POPESTIMATE,Moodys-County,Moodys,3548571.9999999995,Benchmark
2020,County or Equivalent,Pierce County,53053,NETMIG,Census-County-State-US,PEP_Vintage_2025,1184.0,Broad
