Year,Geography Level,NAME,FIPS,Value Type,Source,Dataset,Values,Role
2019,Metropolitan Statistical Area,Seattle MSA,42660,RINTERNATIONALMIG,Census-CBSA,PEP_Vintage_2020,10.992265826,Benchmark
1997,Metropolitan Statistical Area,Seattle MSA,42660,POPESTIMATE,Moodys-CBSA,Moodys,2918071.0394048886,Benchmark
2005,Region,Puget Sound Region,53033-53035-53053-53061,NATURALCHG,Moodys-County,Moodys,21583.51830549657,Benchmark
2017,State,Washington,53,GQESTIMATES,Census-County-State-US,PEP_Vintage_2020,145644.0,Benchmark
1984,National,United States,00,NATURALCHG,Moodys-US,Moodys,1580985.8059623141,Benchmark
2019,Region,Puget Sound Region,53033-53035-53053-53061,NPOPCHG,Census-County-State-US,PEP_Vintage_2020,42955.0,Benchmark
2013,National,United States,00,NETMIG,Census-County-State-US,PEP_Vintage_2020,849728.0,Benchmark
1985,County or Equivalent,Pierce County,53053,NATURALCHG,Moodys-County,Moodys,5547.076617423741,Broad
1986,National,United States,00,INTERNATIONALMIG,Moodys-US,Moodys,467043.04361814394,Benchmark
2015,National,United States,00,RINTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,3.3173931993,Benchmark
2016,National,United States,00,DEATHS,Census-County-State-US,PEP_Vintage_2020,-2703215.0,Benchmark
2011,Region,Puget Sound Region,53033-53035-53053-53061,NATURALCHG,Census-County-State-US,PEP_Vintage_2020,22602.0,Benchmark
2019,Region,Puget Sound Region,53033-53035-53053-53061,RNETMIG,Census-County-State-US,PEP_Vintage_2020,24.4868949481,Benchmark
2019,National,United States,00,RINTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,1.7358566599,Benchmark
