Year,Geography Level,NAME,FIPS,Value Type,Source,Dataset,Values,Role
1993,Metropolitan Statistical Area,Dallas MSA,19100,INTERNATIONALMIG,Moodys-CBSA,Moodys,41077.663518161695,Peer
2023,Metropolitan Statistical Area,Dallas MSA,19100,RDEATH,Census-CBSA,PEP_Vintage_2025,83.92136387,Peer
2005,County or Equivalent,Travis County,48453,INTERNATIONALMIG,Moodys-County,Moodys,6213.146929267376,Focus
1985,Metropolitan Statistical Area,Dallas MSA,19100,NATURALCHG,Moodys-CBSA,Moodys,43793.923465453474,Peer
1993,Metropolitan Statistical Area,Houston MSA,26420,DEATHS,Moodys-CBSA,Moodys,-24856.04094381296,Peer
2013,Metropolitan Statistical Area,Houston MSA,26420,RBIRTH,Census-CBSA,PEP_Vintage_2020,129.95889869,Peer
1991,Metropolitan Statistical Area,San Antonio MSA,41700,INTERNATIONALMIG,Moodys-CBSA,Moodys,4654.930202374297,Peer
1984,County or Equivalent,Travis County,48453,DOMESTICMIG,Moodys-County,Moodys,6616.088299197147,Focus
1998,Metropolitan Statistical Area,Houston MSA,26420,BIRTHS,Moodys-CBSA,Moodys,80284.84048424679,Peer
1992,Metropolitan Statistical Area,Austin MSA,12420,INTERNATIONALMIG,Moodys-CBSA,Moodys,7835.230792388341,Broad
1999,Place,"Fountain, CO",0827865,POPESTIMATE,Census-Place,PEP City and Town Postcensal Tables: 1990-2000,13443.0,Peer
2015,Metropolitan Statistical Area,San Antonio MSA,41700,RESIDUAL,Census-CBSA,PEP_Vintage_2020,170.0,Peer
2015,State,Texas,48,DEATHS,Census-County-State-US,PEP_Vintage_2020,-187833.0,Benchmark
2017,State,Texas,48,DEATHS,Census-County-State-US,PEP_Vintage_2020,-194127.0,Benchmark
2021,County or Equivalent,Travis County,48453,RINTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2025,1.994815322,Focus
1987,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,POPESTIMATE,Moodys-County,Moodys,332613.6957311271,Peer
1997,Metropolitan Statistical Area,Houston MSA,26420,DOMESTICMIG,Moodys-CBSA,Moodys,2296.6070811752325,Peer
1987,County or Equivalent,Travis County,48453,RESIDUAL,Moodys-County,Moodys,197.080237805849,Focus
1984,Metropolitan Statistical Area,Dallas MSA,19100,RESIDUAL,Moodys-CBSA,Moodys,1233.7142694129798,Peer
2005,Metropolitan Statistical Area,Houston MSA,26420,BIRTHS,Moodys-CBSA,Moodys,89319.1142109163,Peer
2025,Metropolitan Statistical Area,Houston MSA,26420,RDEATH,Census-CBSA,PEP_Vintage_2025,77.442801826,Peer
1998,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,RESIDUAL,Moodys-County,Moodys,173.6859453997547,Peer
2016,State,Texas,48,INTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,110382.0,Benchmark
2003,National,US,00,NATURALCHG,Moodys-US,Moodys,1628939.5608129846,Benchmark
2010,Metropolitan Statistical Area,Dallas MSA,19100,POPESTIMATE,Census-CBSA,PEP_Vintage_2020,6392097.0,Peer
2008,Metropolitan Statistical Area,Austin MSA,12420,POPESTIMATE,Moodys-CBSA,Moodys,1633869.9999999995,Broad
2018,County or Equivalent,Travis County,48453,RNETMIG,Census-County-State-US,PEP_Vintage_2020,7.8470016564,Focus
2009,Metropolitan Statistical Area,San Antonio MSA,41700,POPESTIMATE,Moodys-CBSA,Moodys,2105672.0,Peer
2015,Metropolitan Statistical Area,Austin MSA,12420,RNETMIG,Census-CBSA,PEP_Vintage_2020,125.243980737,Broad
1986,Metropolitan Statistical Area,Austin MSA,12420,DOMESTICMIG,Moodys-CBSA,Moodys,14042.621791287966,Broad
2018,National,US,00,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,0.0,Benchmark
1993,County or Equivalent,Travis County,48453,RESIDUAL,Moodys-County,Moodys,231.74882253442462,Focus
2025,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,POPESTIMATE,Census-County-State-US,PEP_Vintage_2025,1369412.0,Peer
1993,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,RESIDUAL,Moodys-County,Moodys,134.99506518626544,Peer
2012,Metropolitan Statistical Area,San Antonio MSA,41700,RBIRTH,Census-CBSA,PEP_Vintage_2020,91.9066755227,Peer
2017,County or Equivalent,Travis County,48453,RBIRTH,Census-County-State-US,PEP_Vintage_2020,12.75858215,Focus
1993,Metropolitan Statistical Area,Houston MSA,26420,INTERNATIONALMIG,Moodys-CBSA,Moodys,38434.25445971449,Peer
2003,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,DOMESTICMIG,Moodys-County,Moodys,15194.208040101366,Peer
2001,State,Texas,48,NATURALCHG,Moodys-State,Moodys,212055.02448306052,Benchmark
2024,Metropolitan Statistical Area,Dallas MSA,19100,NATURALCHG,Census-CBSA,PEP_Vintage_2025,50489.0,Peer
2002,National,US,00,DOMESTICMIG,Moodys-US,Moodys,532.475044210131,Benchmark
1993,County or Equivalent,Travis County,48453,POPESTIMATE,Moodys-County,Moodys,649225.9818943137,Focus
1986,Metropolitan Statistical Area,Austin MSA,12420,INTERNATIONALMIG,Moodys-CBSA,Moodys,9721.010540472233,Broad
