Year,Geography Level,NAME,FIPS,Value Type,Source,Dataset,Values,Role
2015,County or Equivalent,Travis County,48453,NATURALCHG,Census-County-State-US,PEP_Vintage_2020,11055.0,Focus
1996,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,NATURALCHG,Moodys-County,Moodys,3422.9129877793102,Peer
1986,National,US,00,BIRTHS,Moodys-US,Moodys,3766145.724914937,Benchmark
1996,National,US,00,INTERNATIONALMIG,Moodys-US,Moodys,1452261.8926512545,Benchmark
2010,Metropolitan Statistical Area,Austin MSA,12420,BIRTHS,Census-CBSA,PEP_Vintage_2020,24620.0,Broad
2005,Metropolitan Statistical Area,Dallas MSA,19100,DEATHS,Moodys-CBSA,Moodys,-32744.129291177025,Peer
1985,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,NATURALCHG,Moodys-County,Moodys,2462.0527885420656,Peer
1987,Metropolitan Statistical Area,Dallas MSA,19100,DEATHS,Moodys-CBSA,Moodys,-24639.752397508673,Peer
1997,Metropolitan Statistical Area,Dallas MSA,19100,RESIDUAL,Moodys-CBSA,Moodys,1700.8838714230899,Peer
1996,County or Equivalent,Travis County,48453,INTERNATIONALMIG,Moodys-County,Moodys,9683.800272752846,Focus
1995,Metropolitan Statistical Area,San Antonio MSA,41700,DEATHS,Moodys-CBSA,Moodys,-11413.542154708874,Peer
1990,National,US,00,DOMESTICMIG,Moodys-US,Moodys,929.4303824616591,Benchmark
2013,National,US,00,POPESTIMATE,Census-County-State-US,PEP_Vintage_2020,316059947.0,Benchmark
